,Cancellation Policy,Neighbourhood_Charlottenburg,Neighbourhood_Friedrichshain,Neighbourhood_Kreuzberg,Neighbourhood_Mitte,Neighbourhood_Moabit,Neighbourhood_Neukölln,Neighbourhood_Pankow,Neighbourhood_Prenzlauer Berg,Neighbourhood_Schöneberg,Neighbourhood_Tempelhof,Neighbourhood_Wedding,Accommodates,Bathrooms,Bedrooms,Price,Security Deposit,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Availability 365,Number of Reviews,Room Type_Private
499,2.0,0,0,0,0,0,0,0,1,0,0,0,2,10.0,0.0,60.0,200.0,40.0,1,15,10,120,127,0,1
509,2.0,0,1,0,0,0,0,0,0,0,0,0,2,10.0,0.0,95.0,500.0,50.0,2,0,60,360,282,11,1
520,1.0,0,0,1,0,0,0,0,0,0,0,0,4,15.0,1.0,49.0,100.0,30.0,1,10,2,1125,98,10,1
524,2.0,0,0,1,0,0,0,0,0,0,0,0,2,10.0,0.0,60.0,200.0,50.0,2,10,14,40,130,0,1
527,2.0,0,0,1,0,0,0,0,0,0,0,0,5,10.0,1.0,65.0,90.0,35.0,2,12,1,1125,252,98,1
528,2.0,0,0,1,0,0,0,0,0,0,0,0,3,10.0,1.0,102.0,250.0,60.0,1,10,4,1125,20,29,1
538,2.0,0,0,0,0,0,0,0,1,0,0,0,2,10.0,1.0,49.0,300.0,18.0,2,23,1,35,128,24,1
545,1.0,0,0,0,0,0,0,0,1,0,0,0,3,10.0,1.0,55.0,150.0,20.0,1,0,7,1125,0,12,1
546,2.0,0,0,0,0,0,0,0,1,0,0,0,2,10.0,1.0,43.0,69.0,12.0,1,6,1,45,299,329,1
549,2.0,0,0,0,0,0,0,0,1,0,0,0,4,10.0,1.0,90.0,150.0,45.0,2,15,5,360,235,33,1
553,1.0,0,0,0,0,0,0,0,1,0,0,0,2,10.0,2.0,40.0,90.0,25.0,1,0,2,1125,0,4,1
558,2.0,0,0,0,0,0,0,0,1,0,0,0,4,10.0,2.0,95.0,100.0,30.0,2,15,3,1125,0,12,1
562,2.0,1,0,0,0,0,0,0,0,0,0,0,2,10.0,1.0,25.0,150.0,30.0,1,5,3,365,233,22,1
565,1.0,0,0,0,0,0,0,0,1,0,0,0,4,15.0,2.0,210.0,500.0,50.0,4,0,4,1125,0,0,1
566,0.0,0,0,0,0,0,0,0,1,0,0,0,3,10.0,1.0,82.0,220.0,30.0,2,10,2,1125,36,1,1
575,0.0,0,0,0,0,0,0,0,0,0,0,0,2,10.0,1.0,41.0,250.0,20.0,1,20,3,15,40,0,1
593,0.0,0,0,0,0,0,0,0,0,1,0,0,2,10.0,1.0,49.0,100.0,20.0,1,10,3,10,79,1,1
610,0.0,1,0,0,0,0,0,0,0,0,0,0,6,10.0,1.0,70.0,100.0,20.0,4,15,1,1125,107,13,1
613,0.0,1,0,0,0,0,0,0,0,0,0,0,5,10.0,1.0,132.0,200.0,95.0,1,10,4,1125,300,3,1
615,2.0,0,0,0,0,0,0,0,0,0,0,0,2,10.0,2.0,85.0,100.0,45.0,1,30,1,1125,236,42,1
616,0.0,0,0,0,0,0,0,0,0,0,0,0,3,10.0,1.0,135.0,400.0,25.0,1,0,3,1125,365,0,1
618,2.0,0,0,0,0,0,0,0,0,0,0,0,1,10.0,1.0,45.0,100.0,50.0,1,10,180,365,280,17,1
619,0.0,0,0,0,0,0,0,0,0,0,0,0,2,10.0,1.0,35.0,150.0,10.0,1,5,5,1125,0,8,1
629,0.0,0,0,0,0,0,1,0,0,0,0,0,2,10.0,1.0,23.0,200.0,25.0,1,10,4,45,279,40,1
632,2.0,0,0,0,0,0,1,0,0,0,0,0,2,10.0,1.0,41.0,500.0,30.0,1,5,5,1125,0,1,1
638,1.0,0,0,0,0,0,1,0,0,0,0,0,4,10.0,2.0,70.0,200.0,80.0,4,30,2,15,277,10,1
639,1.0,0,0,0,1,0,0,0,0,0,0,0,2,10.0,1.0,30.0,100.0,20.0,1,0,1,1125,307,16,1
640,2.0,0,0,0,1,0,0,0,0,0,0,0,3,10.0,1.0,40.0,100.0,10.0,1,20,3,1125,20,1,1
641,2.0,0,0,0,0,0,1,0,0,0,0,0,3,10.0,1.0,37.0,249.0,9.0,2,25,2,20,72,6,1
644,2.0,0,0,0,0,0,1,0,0,0,0,0,4,10.0,2.0,120.0,100.0,50.0,1,0,4,1125,16,3,1
649,0.0,0,0,0,0,0,1,0,0,0,0,0,1,10.0,1.0,21.0,150.0,20.0,1,30,14,30,299,0,1
660,2.0,0,0,0,0,0,1,0,0,0,0,0,3,10.0,1.0,50.0,150.0,15.0,1,10,1,1125,344,1,1
663,0.0,0,0,0,0,0,1,0,0,0,0,0,2,10.0,1.0,34.0,100.0,10.0,1,0,1,1125,361,6,1
665,2.0,0,0,0,0,0,1,0,0,0,0,0,4,10.0,1.0,38.0,85.0,20.0,1,25,2,1125,314,3,1
673,1.0,0,0,0,0,0,1,0,0,0,0,0,3,10.0,1.0,29.0,100.0,10.0,1,10,3,1125,341,1,1
694,1.0,0,0,0,0,0,1,0,0,0,0,0,5,10.0,2.0,110.0,300.0,35.0,4,25,2,25,51,18,1
698,2.0,0,0,0,0,0,1,0,0,0,0,0,1,10.0,1.0,40.0,200.0,30.0,1,10,2,1125,35,3,1
727,1.0,0,0,0,0,0,1,0,0,0,0,0,3,10.0,1.0,95.0,300.0,50.0,2,25,6,1125,89,0,1
728,0.0,0,0,0,0,0,1,0,0,0,0,0,2,10.0,1.0,60.0,200.0,20.0,2,10,2,1125,0,4,1
731,1.0,0,0,0,0,0,1,0,0,0,0,0,2,10.0,1.0,45.0,350.0,10.0,1,15,2,7,46,8,1
733,2.0,0,0,0,0,0,1,0,0,0,0,0,12,30.0,3.0,235.0,200.0,48.0,8,25,2,1125,302,27,1
740,1.0,0,0,0,0,0,1,0,0,0,0,0,1,10.0,1.0,40.0,500.0,15.0,1,25,3,1125,0,1,1
743,1.0,0,0,0,0,0,1,0,0,0,0,0,2,10.0,2.0,70.0,150.0,50.0,2,10,10,1125,218,20,1
748,0.0,0,0,0,0,0,1,0,0,0,0,0,4,10.0,2.0,70.0,200.0,20.0,1,10,6,1125,0,0,1
750,1.0,0,0,0,0,0,1,0,0,0,0,0,6,15.0,2.0,59.0,200.0,25.0,4,10,3,1125,0,1,1
756,0.0,0,1,0,0,0,0,0,0,0,0,0,4,10.0,1.0,85.0,100.0,20.0,2,5,3,1125,61,1,1
759,1.0,0,1,0,0,0,0,0,0,0,0,0,2,10.0,1.0,35.0,100.0,10.0,1,0,3,1125,0,6,1
762,1.0,0,1,0,0,0,0,0,0,0,0,0,2,10.0,1.0,33.0,250.0,20.0,1,10,2,1125,142,42,1
764,0.0,0,1,0,0,0,0,0,0,0,0,0,2,10.0,1.0,50.0,200.0,20.0,1,0,5,10,364,2,1
767,1.0,0,1,0,0,0,0,0,0,0,0,0,2,10.0,1.0,31.0,300.0,20.0,1,10,2,1125,304,14,1
779,1.0,0,0,0,0,0,1,0,0,0,0,0,2,10.0,0.0,30.0,150.0,20.0,1,0,1,1125,0,1,1
