,Neighbourhood,Property Type,Room Type,Accommodates,Bathrooms,Bedrooms,Beds,Bed Type,Price,Guests Included,Extra People,Minimum Nights,Maximum Nights,Availability 365,Number of Reviews,Cancellation Policy
16259,Mitte,Apartment,Entire home/apt,6,1.0,3.0,4.0,Real Bed,210.0,1,0,2,1125,301,26,strict
16260,Mitte,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,23.0,2,25,2,35,2,54,strict
16262,Mitte,Apartment,Private room,2,1.5,1.0,1.0,Real Bed,31.0,1,0,2,1125,37,2,flexible
16263,Mitte,Apartment,Private room,2,2.0,1.0,2.0,Real Bed,100.0,1,80,1,1125,364,2,flexible
16264,Mitte,Apartment,Private room,6,3.0,1.0,6.0,Real Bed,99.0,1,20,1,1125,338,0,strict
16275,Schöneberg,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,69.0,1,30,1,30,330,67,strict
16276,Schöneberg,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,60.0,1,0,1,1125,131,16,flexible
16277,Schöneberg,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,40.0,1,5,3,1125,207,5,flexible
16278,Schöneberg,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,59.0,1,0,4,1125,22,31,moderate
16279,Friedrichshain,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,30.0,1,10,1,31,26,4,flexible
16280,Friedrichshain,Apartment,Entire home/apt,3,1.0,2.0,3.0,Real Bed,55.0,1,0,6,50,0,2,moderate
16282,Friedrichshain,Apartment,Private room,2,1.0,1.0,1.0,Pull-out Sofa,50.0,1,0,1,1125,27,9,flexible
16283,Friedrichshain,Apartment,Private room,1,1.0,1.0,1.0,Futon,20.0,1,0,4,1125,0,0,flexible
16286,Friedrichshain,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,23.0,1,0,14,21,0,0,flexible
16311,Mitte,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,70.0,1,20,2,5,221,23,moderate
16312,Mitte,Boutique hotel,Private room,4,1.0,1.0,3.0,Real Bed,135.0,1,0,2,1125,68,8,strict
16313,Tempelhof,Apartment,Entire home/apt,4,1.0,2.0,4.0,Real Bed,65.0,1,0,7,14,0,2,moderate
16314,Tempelhof,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,50.0,1,0,1,1125,176,2,strict
16315,Neukölln,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,28.0,1,8,3,1125,0,17,flexible
16317,Neukölln,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,24.0,1,0,1,1125,0,0,flexible
16318,Neukölln,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,40.0,1,0,3,1125,19,8,flexible
16319,Neukölln,Apartment,Private room,5,2.0,1.0,3.0,Real Bed,95.0,4,20,2,1125,236,41,strict
16320,Neukölln,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,25.0,1,15,1,1125,0,1,flexible
16321,Neukölln,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,35.0,1,20,1,1125,211,28,flexible
16322,Neukölln,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,30.0,1,10,2,1125,11,1,strict
16323,Neukölln,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,25.0,1,15,2,7,0,0,flexible
16324,Neukölln,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,50.0,2,15,2,3,0,3,strict
16326,Neukölln,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,23.0,1,10,1,37,289,6,flexible
16327,Neukölln,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,49.0,2,15,7,22,249,12,strict
16329,Neukölln,Apartment,Entire home/apt,5,1.0,2.0,3.0,Real Bed,55.0,4,13,3,25,0,15,moderate
16330,Neukölln,Condominium,Private room,1,1.0,1.0,1.0,Futon,19.0,1,8,6,1125,13,3,moderate
16331,Neukölln,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,65.0,1,0,1,1125,0,2,flexible
16332,Neukölln,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,32.0,1,0,1,1125,0,16,flexible
16333,Neukölln,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,55.0,1,15,2,1125,0,1,moderate
16334,Neukölln,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,70.0,2,10,1,4,15,21,moderate
16335,Neukölln,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,25.0,2,0,1,1125,38,4,moderate
16336,Neukölln,Apartment,Entire home/apt,3,1.0,2.0,2.0,Real Bed,110.0,2,30,4,1125,357,13,strict
16338,Neukölln,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,22.0,1,0,1,1125,55,1,flexible
16341,Neukölln,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,42.0,1,0,1,1125,0,0,strict
16356,Reinickendorf,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,45.0,1,0,1,1125,37,9,moderate
16357,Schöneberg,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,79.0,1,0,5,20,9,4,moderate
16358,Schöneberg,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,20.0,1,0,1,1125,0,2,flexible
16359,Schöneberg,Apartment,Private room,2,1.0,1.0,1.0,Pull-out Sofa,40.0,2,10,3,30,128,7,moderate
16360,Schöneberg,Apartment,Entire home/apt,2,1.5,2.0,4.0,Real Bed,58.0,2,0,5,30,3,38,moderate
16361,Schöneberg,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,70.0,1,0,4,1125,0,2,moderate
16362,Schöneberg,Apartment,Entire home/apt,3,1.0,2.0,2.0,Real Bed,90.0,2,30,1,1125,3,24,flexible
16363,Tempelhof,Apartment,Private room,1,1.0,1.0,1.0,Airbed,14.0,1,0,10,1125,0,1,flexible
16365,Tempelhof,Apartment,Private room,2,1.0,1.0,1.0,Pull-out Sofa,30.0,1,7,1,1125,0,0,flexible
