,id,superhost,neighbourhood,latitude,longitude,property_type,room_type,accommodates,bathrooms,beds,price,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms
2656,20555102,t,Álvaro Obregón,19.35374,-99.19211,Entire rental unit,Entire home/apt,2,1.0,1,1500,297,45,3,0,4.93,4.98,4.84,17,14,0
2657,19692157,t,Miguel Hidalgo,19.42953,-99.19389,Entire rental unit,Entire home/apt,4,2.0,3,3378,363,33,1,0,4.79,4.85,4.76,2,2,0
2658,20048700,t,Coyoacán,19.34123,-99.15541,Entire rental unit,Entire home/apt,3,1.0,1,700,323,40,9,0,4.85,4.85,4.78,2,2,0
2659,19692799,f,Benito Juárez,19.3675,-99.16923,Entire condo,Entire home/apt,4,1.0,2,1203,349,132,7,0,4.89,4.89,4.85,1,1,0
2661,20556069,f,Cuauhtémoc,19.42562,-99.15236,Entire rental unit,Entire home/apt,3,1.0,1,650,0,50,0,0,4.9,5.0,4.84,2,2,0
2662,19694057,f,Cuauhtémoc,19.40894,-99.16578,Entire rental unit,Entire home/apt,3,1.5,2,1057,319,87,8,1,4.77,4.91,4.8,2,2,0
2663,20556401,f,Miguel Hidalgo,19.42463,-99.21231,Entire rental unit,Entire home/apt,4,1.5,2,2543,364,12,0,0,5.0,5.0,4.92,3,3,0
2664,20557068,t,Cuauhtémoc,19.43474578857422,-99.1522979736328,Entire rental unit,Entire home/apt,4,2.0,2,2142,67,180,31,4,4.83,4.92,4.79,10,10,0
2665,20557398,t,Cuauhtémoc,19.41627,-99.17754,Entire rental unit,Entire home/apt,4,2.0,2,1385,329,266,35,2,4.84,4.89,4.86,1,1,0
2666,20055282,t,Benito Juárez,19.38322,-99.16649,Entire condo,Entire home/apt,5,2.0,3,1068,326,102,13,0,4.83,4.92,4.87,1,1,0
2667,20055322,t,Cuauhtémoc,19.422228,-99.155647,Private room in home,Private room,2,1.0,1,866,0,482,74,3,4.82,4.84,4.81,14,5,9
2668,20055481,f,Miguel Hidalgo,19.43321,-99.17422,Entire condo,Entire home/apt,4,2.5,3,2430,0,1,0,0,5.0,5.0,5.0,1,1,0
2669,19700294,t,Benito Juárez,19.39239,-99.17587,Entire loft,Entire home/apt,2,1.0,1,890,0,78,25,0,4.9,4.94,4.84,2,2,0
2671,20558234,t,Tlalpan,19.27329,-99.14154,Private room in home,Private room,2,1.0,1,380,359,67,21,2,4.9,4.9,4.94,5,0,5
2672,20558619,t,Xochimilco,19.27468,-99.14139,Private room in home,Private room,2,1.0,1,380,1,45,6,1,4.96,4.96,4.96,5,0,5
2673,20564023,f,Coyoacán,19.31255,-99.13529,Private room in home,Private room,2,1.5,1,350,301,34,0,0,4.65,4.71,4.62,3,0,3
2674,19703122,t,Benito Juárez,19.38336,-99.18072,Entire loft,Entire home/apt,2,1.0,1,998,55,72,19,5,4.82,4.96,4.78,9,9,0
2675,20064365,t,Miguel Hidalgo,19.44179,-99.20178,Entire condo,Entire home/apt,6,2.5,2,2079,179,71,7,1,4.89,4.96,4.83,2,1,1
2676,19703293,f,Álvaro Obregón,19.34222,-99.18667,Entire rental unit,Entire home/apt,2,1.0,1,968,341,27,1,1,4.93,4.96,4.96,1,1,0
2677,20067108,t,Benito Juárez,19.40245,-99.14661,Entire serviced apartment,Entire home/apt,3,1.0,1,900,365,99,17,1,4.74,4.74,4.71,23,23,0
2678,19711317,t,Cuajimalpa de Morelos,19.36783,-99.26887,Private room in home,Private room,1,1.0,1,517,355,39,17,3,4.72,4.79,4.58,21,1,18
2680,20573706,f,Miguel Hidalgo,19.458,-99.21284,Entire rental unit,Entire home/apt,6,1.0,2,927,90,31,2,0,4.35,4.35,4.39,2,2,0
2681,20586299,f,Cuauhtémoc,19.430032735792945,-99.17214770739253,Entire rental unit,Entire home/apt,3,2.0,2,1400,209,6,6,2,4.83,5.0,4.83,1,1,0
2683,20069705,f,Benito Juárez,19.39728,-99.15247,Entire rental unit,Entire home/apt,6,1.0,4,1400,356,88,7,1,4.77,4.88,4.78,7,7,0
2684,20763888,t,Benito Juárez,19.37444,-99.13964,Entire rental unit,Entire home/apt,5,2.0,3,691,307,319,67,4,4.86,4.92,4.87,4,4,0
2685,20070814,f,Cuauhtémoc,19.4372615814209,-99.1367416381836,Private room in rental unit,Private room,3,1.0,2,364,92,293,24,0,4.48,4.73,4.49,20,3,17
2686,20073032,t,Iztacalco,19.40561,-99.07619,Private room in condo,Private room,2,1.0,1,749,354,36,21,4,4.97,4.89,4.86,1,0,1
2687,20589724,f,Cuauhtémoc,19.41557,-99.15978,Entire rental unit,Entire home/apt,4,2.0,2,1900,2,32,0,0,4.84,4.94,4.94,2,1,1
2688,20590461,t,Cuajimalpa de Morelos,19.35579490661621,-99.27557373046876,Entire loft,Entire home/apt,4,2.0,3,2207,365,18,3,0,4.89,4.94,4.94,1,1,0
2689,20764592,f,Miguel Hidalgo,19.43025,-99.19643,Private room in rental unit,Private room,2,1.0,1,2634,365,12,0,0,5.0,5.0,4.75,8,0,8
