,id,superhost,neighbourhood,latitude,longitude,property_type,room_type,accommodates,bathrooms,beds,price,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms
2624,20001413,f,Álvaro Obregón,19.36263,-99.19156,Private room in rental unit,Private room,2,1.0,1,470,64,9,0,0,5.0,5.0,5.0,1,0,1
2625,19626550,t,Benito Juárez,19.40226,-99.14636,Entire serviced apartment,Entire home/apt,3,1.0,3,1200,365,17,2,1,5.0,5.0,4.94,23,23,0
2626,20488914,f,Azcapotzalco,19.46597,-99.15983,Entire home,Entire home/apt,5,2.0,3,1066,356,61,4,1,4.54,4.69,4.66,1,1,0
2627,19638804,t,Cuauhtémoc,19.42319,-99.1598,Entire rental unit,Entire home/apt,4,2.0,3,1297,0,303,44,1,4.86,4.89,4.89,4,4,0
2628,19639981,f,Coyoacán,19.34166,-99.15035,Private room,Private room,1,1.0,1,181,0,1,1,0,1.0,1.0,1.0,1,0,1
2630,19640541,f,Cuauhtémoc,19.43017,-99.14759,Entire rental unit,Entire home/apt,2,1.0,1,607,331,99,6,2,4.86,4.89,4.82,2,2,0
2631,20014897,f,Coyoacán,19.31422,-99.13661,Private room in home,Private room,1,1.5,1,350,179,16,0,0,4.94,5.0,5.0,3,0,3
2632,20015611,f,Cuauhtémoc,19.40686,-99.17437,Entire townhouse,Entire home/apt,6,3.0,4,7215,1,73,15,2,4.92,4.81,4.65,2,2,0
2633,20496481,t,Miguel Hidalgo,19.44498,-99.2029,Entire rental unit,Entire home/apt,4,2.0,2,1440,9,377,26,2,4.9,4.96,4.89,2,2,0
2635,20520421,f,Cuauhtémoc,19.41418,-99.16661,Private room in rental unit,Private room,2,4.0,2,550,360,26,0,0,4.65,4.46,4.65,1,0,1
2636,19642597,t,Miguel Hidalgo,19.4086,-99.19161,Entire loft,Entire home/apt,2,1.0,1,815,355,126,8,0,4.84,4.91,4.78,4,4,0
2637,20521083,f,Benito Juárez,19.38437,-99.15257,Private room in home,Private room,2,1.5,1,245,177,62,0,0,4.74,4.82,4.84,3,0,3
2638,20016824,f,Azcapotzalco,19.47534,-99.14837,Private room in condo,Private room,2,1.5,1,270,0,190,0,0,4.77,4.86,4.82,1,0,1
2639,19660318,f,Benito Juárez,19.39998,-99.16881,Private room in condo,Private room,1,1.0,1,450,353,3,0,0,5.0,5.0,5.0,2,0,2
2641,20523755,f,Cuauhtémoc,19.41259,-99.18137,Private room in home,Private room,2,3.5,1,809,0,3,0,0,5.0,5.0,5.0,4,3,1
2642,20525532,t,Cuauhtémoc,19.41253,-99.17297,Entire loft,Entire home/apt,2,1.0,1,2515,331,178,16,0,4.85,4.93,4.76,1,1,0
2643,19662054,f,Benito Juárez,19.40155,-99.15609,Private room in rental unit,Private room,2,1.0,1,425,22,37,5,0,4.86,4.86,4.94,4,1,3
2645,20527710,t,Benito Juárez,19.40245,-99.14661,Entire serviced apartment,Entire home/apt,3,1.0,1,900,365,6,0,0,4.83,5.0,4.67,23,23,0
2647,19682701,f,Xochimilco,19.25763,-99.1019,Entire rental unit,Entire home/apt,4,1.0,2,711,70,68,7,1,4.85,4.93,4.9,1,1,0
2648,20036586,f,Venustiano Carranza,19.41111,-99.08656,Entire rental unit,Entire home/apt,5,1.0,3,593,37,322,49,2,4.9,4.95,4.91,11,11,0
2651,20536288,f,Miguel Hidalgo,19.43432,-99.21098,Entire rental unit,Entire home/apt,2,1.0,1,930,169,56,9,1,4.68,4.75,4.55,1,1,0
2652,19682986,f,Cuauhtémoc,19.43685,-99.15731,Entire serviced apartment,Entire home/apt,2,1.0,1,598,138,29,1,1,4.69,4.83,4.59,1,1,0
2653,20536551,f,Álvaro Obregón,19.35998,-99.18288,Entire rental unit,Entire home/apt,6,2.0,4,2366,362,64,14,2,4.66,4.78,4.77,2,2,0
2654,20541514,f,Tlalpan,19.27641,-99.17957,Private room in home,Private room,2,1.5,1,254,350,4,0,0,4.75,4.75,4.5,5,0,5
2655,20554297,t,Xochimilco,19.27485,-99.14114,Private room in home,Private room,2,1.0,1,450,240,31,5,2,4.81,4.81,4.81,5,0,5
