superhost,neighbourhood,room_type,accommodates,bathrooms,beds,price,availability_365,number_of_reviews,review_scores_rating,days_rented,revenue
t,Cuauhtémoc,Entire home/apt,2,1.0,1,696.0,320,291,4.91,45,31320.0
f,Cuauhtémoc,Private room,1,1.0,1,600.0,1,50,4.73,364,218400.0
t,Cuauhtémoc,Private room,2,1.0,2,3250.0,255,26,4.38,110,357500.0
t,Venustiano Carranza,Entire home/apt,6,1.0,3,1266.0,83,121,4.78,282,357012.0
t,Venustiano Carranza,Entire home/apt,2,1.0,2,1104.0,83,96,4.73,282,311328.0
f,Benito Juárez,Private room,16,16.0,16,2887.0,365,1,5.0,0,0.0
f,Cuauhtémoc,Entire home/apt,2,1.0,1,660.0,55,242,4.67,310,204600.0
f,Coyoacán,Private room,1,1.5,1,253.0,325,78,4.76,40,10120.0
t,Cuauhtémoc,Private room,2,1.0,1,730.0,311,94,4.91,54,39420.0
t,Azcapotzalco,Entire home/apt,3,1.0,2,999.0,203,63,4.79,162,161838.0
t,Cuauhtémoc,Private room,2,1.0,1,679.0,302,53,4.96,63,42777.0
f,Cuauhtémoc,Entire home/apt,2,2.0,1,946.0,92,342,4.83,273,258258.0
t,Cuauhtémoc,Private room,2,1.0,1,513.0,306,86,4.97,59,30267.0
f,Cuauhtémoc,Private room,1,2.5,1,289.0,208,12,4.58,157,45373.0
f,Cuauhtémoc,Shared room,16,4.0,16,4670.0,365,0,0.0,0,0.0
t,Cuauhtémoc,Private room,1,1.0,1,250.0,143,22,4.91,222,55500.0
t,Miguel Hidalgo,Entire home/apt,4,2.5,3,1000.0,82,131,4.83,283,283000.0
f,Coyoacán,Entire home/apt,4,1.0,3,2500.0,356,66,4.82,9,22500.0
f,Cuauhtémoc,Entire home/apt,4,2.0,3,2038.0,364,90,4.82,1,2038.0
t,Cuauhtémoc,Private room,2,1.0,1,1188.0,273,167,4.98,92,109296.0
f,Benito Juárez,Private room,1,2.0,1,475.0,356,10,4.9,9,4275.0
t,Coyoacán,Private room,1,1.5,1,230.0,268,13,4.77,97,22310.0
f,Benito Juárez,Entire home/apt,2,1.0,1,1550.0,352,35,4.8,13,20150.0
t,Benito Juárez,Private room,2,1.0,2,315.0,355,61,4.92,10,3150.0
f,Cuauhtémoc,Entire home/apt,3,1.0,2,638.0,0,340,4.79,365,232870.0
f,Cuauhtémoc,Entire home/apt,7,2.0,4,1950.0,86,212,4.81,279,544050.0
f,Cuauhtémoc,Entire home/apt,4,1.0,2,1189.0,351,61,4.8,14,16646.0
f,Álvaro Obregón,Private room,6,2.0,6,1697.0,0,11,4.73,365,619405.0
f,Coyoacán,Entire home/apt,4,2.0,1,1358.0,0,0,0.0,365,495670.0
t,Cuauhtémoc,Private room,2,1.0,1,500.0,345,25,4.8,20,10000.0
t,Cuauhtémoc,Entire home/apt,2,1.0,1,678.0,1,95,4.58,364,246792.0
t,Cuauhtémoc,Private room,2,1.0,2,550.0,362,205,4.78,3,1650.0
f,Miguel Hidalgo,Entire home/apt,4,3.5,4,5094.0,365,0,0.0,0,0.0
t,Cuajimalpa de Morelos,Private room,4,2.5,5,1150.0,361,18,4.78,4,4600.0
f,Coyoacán,Entire home/apt,2,1.0,1,500.0,246,6,4.5,119,59500.0
f,Cuauhtémoc,Entire home/apt,2,1.0,1,600.0,352,50,4.78,13,7800.0
f,Miguel Hidalgo,Private room,4,2.0,2,1477.0,365,0,0.0,0,0.0
f,Coyoacán,Entire home/apt,6,2.0,3,3126.0,303,29,4.97,62,193812.0
