Neighbourhood,Room Type,Accommodates,Bathrooms,Bedrooms,Beds,Price,Availability 365,Number of Reviews,days_rented,revenue
Kreuzberg,Private room,2,1.0,1.0,1.0,49.0,302,4,63,3087.0
Friedrichshain,Entire home/apt,2,1.5,0.0,1.0,40.0,101,1,264,10560.0
Friedrichshain,Entire home/apt,2,1.0,1.0,1.0,85.0,337,1,28,2380.0
Friedrichshain,Private room,2,1.0,1.0,1.0,45.0,361,1,4,180.0
Friedrichshain,Entire home/apt,2,1.0,1.0,1.0,85.0,33,0,332,28220.0
Friedrichshain,Entire home/apt,2,1.0,1.0,1.0,37.0,0,4,365,13505.0
Friedrichshain,Private room,2,1.0,1.0,1.0,52.0,0,1,365,18980.0
Kreuzberg,Private room,2,2.0,1.0,2.0,30.0,0,10,365,10950.0
Kreuzberg,Private room,2,1.0,1.0,1.0,45.0,331,17,34,1530.0
Kreuzberg,Private room,2,1.0,1.0,1.0,50.0,0,2,365,18250.0
Kreuzberg,Entire home/apt,3,1.0,2.0,3.0,78.0,16,5,349,27222.0
